l_neighborhood,l_borough,l_boroughId,l_neighborhoodId,l_pickups
Todt Hill,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Todt_Hill,1
Tompkinsville,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Tompkinsville,1
Tottenville,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Tottenville,0
Tremont,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Tremont,15
Tribeca,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Tribeca,18393
Two Bridges,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Two_Bridges,329
Unionport,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Unionport,16
University Heights,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/University_Heights,40
Upper East Side,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Upper_East_Side,47928
Upper West Side,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Upper_West_Side,25889
Van Cortlandt Park,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Van_Cortlandt_Park,34
Van Nest,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Van Nest,14
Vinegar Hill,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Vinegar_Hill,438
Wakefield,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Wakefield,36
Washington Heights,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Washington_Heights,1145
West Brighton,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/West_Brighton,8
West Farms,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/West_Farms,15
West Village,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/West_Village,29017
Westchester Square,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Westchester_Square,32
Westerleigh,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Westerleigh,3
Whitestone,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Whitestone,66
Williamsbridge,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Williamsbridge,39
Williamsburg,Brooklyn,4,http://nyc.pediacities.com/Resource/Neighborhood/Williamsburg,14502
Willowbrook,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Willowbrook,0
Windsor Terrace,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Windsor_Terrace,379
Woodhaven,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Woodhaven,55
Woodlawn,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Woodlawn,17
Woodrow,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Woodrow,0
Woodside,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Woodside,159
